original_reference,original_value,original_sheet,status,s4_reference,reason
C72,0.1u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C80,3300p,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
D1,1SS355VMTE-17,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
D2,1SS355VMTE-17,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
DL1,150060VS75000,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
DL2,150060RS75000,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
F1,F0805B2R00FSTR,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
L1,0.47uH,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
L2,0.47uH,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
NT1,NetTie_2,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
PTC1,0805L075SLYR,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
Q1,2N3904,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
Q3,2N3906,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
Q5,NDC7002N,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
Q9,NDC7002N,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
Q10,NDC7002N,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R3,5.1k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R4,33k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R8,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R9,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R10,20k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R11,1k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R12,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R13,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R15,10k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R16,10k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R17,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R18,10k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R24,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R25,3.3k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R58,5.1k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R59,820k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R60,91k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R63,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R64,200k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R65,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R66,100k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R72,510k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R73,91k,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
SW1,CSS-1310B,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP13,VOUT5,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP14,VDD5,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP15,~{RESET},/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP16,VOUT3,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP17,~{MR},/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP18,VDD2,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP19,VBATT,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP20,SW,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP21,VDD3,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP22,VAUD,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP23,PG3,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP24,EN,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP26,VFILT,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP30,PG2V5,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP32,VCC,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U3,TPS3840DL20,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U4,NCV8164ASN250T1G,/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
U5,TPS63802,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U8,NCV8164ASN250T1G,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U10,TPS3840DL20,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U11,TPS22917DBV,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U13,TPS63802,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U14,MIC1553,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U17,TPS3840DL20,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U18,TPS22917DBV,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C3,27p,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C4,33p,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C5,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C6,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C7,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C8,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C15,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C16,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C17,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C18,100p,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C19,100p,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C20,100p,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C30,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C34,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C39,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C43,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C45,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C46,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C47,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C48,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C49,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C50,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C51,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C52,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C53,0.1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C62,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C63,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C64,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C69,1u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C73,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C74,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C75,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C76,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C77,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C78,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C79,0.01u,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
EM1,ACM2520-801-3P-T002,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
EM2,ACM2520-801-3P-T002,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
EM3,MH1608-601Y,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
EM7,MH1608-601Y,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
JP1,Jumper_2_Open,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
JP2,Jumper_2_Open,/CPU/,replaced,,Original SRAM and its configuration are replaced by S4 in-package RAM; no external SRAM is required for this design.
JP3,Jumper_2_Open,/CPU/,replaced,,Original SRAM and its configuration are replaced by S4 in-package RAM; no external SRAM is required for this design.
P1,CART SLOT,/CPU/,outside_console_scope,,User-authorized console uses emulators and USB controllers; original cartridge/link interfaces are outside this scope.
P4,AGB-LINK,/CPU/,outside_console_scope,,User-authorized console uses emulators and USB controllers; original cartridge/link interfaces are outside this scope.
Q2,NDC7002N,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
Q7,NDC7002N,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
Q8,2N7002,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R1,1.5M,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R2,10k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R5,100k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R6,100k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R7,100k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R29,18k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R35,100k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R38,47,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R39,47,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R40,15,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R41,2.2k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R43,15,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R44,15,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
R68,100k,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
RA1,330,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
SW2,1825027-5,/CPU/,moved_to_usb_controllers,J4/U9/U10,"User-authorized console replaces onboard game buttons with USB controllers; host wiring exists, firmware and hardware qualification remain open."
SW3,1825027-5,/CPU/,moved_to_usb_controllers,J4/U9/U10,"User-authorized console replaces onboard game buttons with USB controllers; host wiring exists, firmware and hardware qualification remain open."
SW4,SKRRABE010,/CPU/,moved_to_usb_controllers,J4/U9/U10,"User-authorized console replaces onboard game buttons with USB controllers; host wiring exists, firmware and hardware qualification remain open."
SW5,SKRRABE010,/CPU/,moved_to_usb_controllers,J4/U9/U10,"User-authorized console replaces onboard game buttons with USB controllers; host wiring exists, firmware and hardware qualification remain open."
SW6,SKRRABE010,/CPU/,moved_to_usb_controllers,J4/U9/U10,"User-authorized console replaces onboard game buttons with USB controllers; host wiring exists, firmware and hardware qualification remain open."
TP0,TP0,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP1,TP1,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP2,TP2,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP3,TP3,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP4,TP4,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP5,TP5,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP6,TP6,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP7,TP7,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP8,TP8,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP9,TP9,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP12,TestPoint,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP25,SCK,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP27,R,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP28,L,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP29,SEL,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP80,CK1,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
TP81,CK2,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U1,AGB-CPU,/CPU/,replaced,U3,Nintendo CPU replaced by T113M4020DC0; emulator software is required.
U2,AGB-SRAM,/CPU/,replaced,,Original SRAM and its configuration are replaced by S4 in-package RAM; no external SRAM is required for this design.
U12,TPS22917DBV,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U15,SN74LVC1G332,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
U16,SN74HC02PWR,/CPU/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
X1,4.194304MHz,/CPU/,replaced,Y1/Y2,S4 requires its own 24 MHz and RTC clocks; original 4.194304 MHz clock cannot be retained.
C11,1u,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
C13,0.1u,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
C14,0.1u,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
C70,47p,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
C71,47p,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
P2,FFC CONNECTOR,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
R26,33k,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
R36,270,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
R67,100k,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
R70,100k,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
R71,100k,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
TP10,TOUCH1,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
TP11,TOUCH2,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
TP31,TOUCH2B,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
VR1,50k,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
Z57,100p or 0 ohm,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
Z58,100p or 0 ohm,/CPU/Display/,moved_to_hdmi,,User-authorized console replaces handheld LCD with monitor output; required HDMI implementation remains unfinished.
C9,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C24,1000p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C25,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C26,680p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C27,330p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C28,3300p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C29,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C31,680p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C32,1000p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C33,330p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C35,3300p,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C36,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C38,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C54,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C55,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C56,1u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
CP1,100u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
CP2,100u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
CP3,100u,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
